Time,CPI rate,GDP_gap,ULC_rate,Imports_growth_rate,House_price_index,Share_price_index,Energy_price_index
1985-01-01,"3,58","-212,99","1,29","31,6","119,44","9,16","49,12"
1985-04-01,"3,74","-151,32","2,07","27,3","121,04","8,88","49,94"
1985-07-01,"3,35","-147,11","3,03","21,1","122,18","9,14","50,29"
1985-10-01,"3,51","-154,29","3,07","18,9","123,16","9,43","49,62"
1986-01-01,"3,08","-149,72","3,19","7,6","124,89","10,16","48,65"
1986-04-01,"1,62","-151,55","3,39","8,3","126,78","10,60","50,62"
1986-07-01,"1,64","-101,55","2,59","4,6","128,76","10,81","51,04"
1986-10-01,"1,28","-112,11","3,05","5,6","130,19","11,25","50,06"
1987-01-01,"2,20","-106,25","2,56","7,9","132,72","12,56","47,56"
1987-04-01,"3,76","-138,74","2,44","7,2","135,50","13,71","43,45"
1987-07-01,"4,19","-129,39","2,95","11,2","137,56","13,74","42,50"
1987-10-01,"4,50","-153,94","3,09","7,9","139,69","13,85","40,43"
1988-01-01,"3,97","-160,56","3,59","7,3","142,46","15,77","41,94"
1988-04-01,"3,92","-138,47","3,64","5,5","144,68","16,39","43,45"
1988-07-01,"4,11","-133,02","3,76","4,7","146,35","17,72","45,36"
1988-10-01,"4,31","-54,66","3,13","6,3","147,31","14,17","43,88"
1989-01-01,"4,82","-77,67","3,43","6,4","149,59","14,38","42,86"
1989-04-01,"5,22","-31,10","4,09","2,6","152,59","14,73","43,87"
1989-07-01,"4,67","-47,22","4,27","3,0","154,17","14,95","45,28"
1989-10-01,"4,60","3,44","4,16","3,8","155,58","15,33","43,95"
1990-01-01,"5,23","27,53","3,37","4,7","157,40","16,18","44,05"
1990-04-01,"4,58","29,88","2,39","6,5","159,56","17,34","47,86"
1990-07-01,"5,53","31,15","1,97","3,9","162,97","18,85","47,87"
1990-10-01,"6,22","-17,08","2,78","2,6","164,31","18,93","46,17"
1991-01-01,"5,29","18,53","3,15","5,4","165,24","18,36","47,56"
1991-04-01,"4,85","-12,46","4,50","4,7","165,93","18,94","47,96"
1991-07-01,"3,88","-69,80","4,98","4,4","166,96","18,20","51,14"
1991-10-01,"2,99","-217,78","4,82","-0,2","166,31","17,16","54,61"
1992-01-01,"2,87","-322,86","4,79","-4,3","167,68","19,12","50,86"
1992-04-01,"3,10","-311,18","3,65","-2,5","168,80","20,53","50,12"
1992-07-01,"3,10","-324,22","3,28","0,7","169,13","20,93","50,80"
1992-10-01,"3,05","-352,11","2,96","5,7","171,50","21,15","50,19"
1993-01-01,"3,20","-300,51","2,94","7,7","172,82","22,54","48,96"
1993-04-01,"3,15","-259,33","2,79","7,6","172,78","22,38","50,57"
1993-07-01,"2,74","-228,00","2,18","6,3","174,75","22,72","52,13"
1993-10-01,"2,72","-191,46","1,45","6,5","175,62","23,08","51,41"
1994-01-01,"2,52","-241,10","1,00","8,0","175,70","24,14","50,62"
1994-04-01,"2,38","-251,41","1,52","8,5","177,38","24,36","51,59"
1994-07-01,"2,88","-272,81","1,72","8,2","178,82","24,91","51,95"
1994-10-01,"2,65","-206,86","1,45","9,9","180,29","25,46","51,18"
1995-01-01,"2,84","-178,98","1,16","10,1","181,42","25,79","50,14"
1995-04-01,"3,09","-111,38","0,72","11,9","182,51","24,72","51,03"
1995-07-01,"2,64","-122,51","0,80","13,5","183,26","25,19","53,15"
1995-10-01,"2,65","-75,55","0,86","12,2","183,11","24,97","51,95"
1996-01-01,"2,74","-110,60","1,70","12,0","184,07","25,82","51,11"
1996-04-01,"2,85","-152,20","1,67","9,1","187,09","27,92","52,49"
1996-07-01,"2,94","-135,50","1,64","6,4","189,98","29,99","52,85"
1996-10-01,"3,19","-137,94","1,88","4,8","191,44","31,60","51,03"
1997-01-01,"2,95","-133,56","1,62","5,9","193,59","33,75","51,92"
1997-04-01,"2,34","-33,78","1,03","7,3","193,90","35,01","55,20"
1997-07-01,"2,20","-21,53","1,16","10,4","194,77","35,03","55,17"
1997-10-01,"1,87","1,69","1,30","11,1","196,29","38,09","54,84"
1998-01-01,"1,46","-23,45","1,97","12,2","197,92","40,90","55,46"
1998-04-01,"1,60","61,82","1,71","13,5","199,54","42,63","54,58"
1998-07-01,"1,60","97,84","1,46","13,9","202,25","47,94","55,50"
1998-10-01,"1,55","86,20","2,35","14,2","204,89","49,38","54,31"
1999-01-01,"1,67","88,60","2,00","13,6","207,96","52,72","51,04"
1999-04-01,"2,11","79,72","3,37","12,4","209,82","56,85","51,16"
1999-07-01,"2,35","108,76","3,51","9,9","212,76","53,88","51,21"
1999-10-01,"2,62","181,49","2,08","11,0","215,27","54,52","49,40"
2000-01-01,"3,24","172,27","1,87","10,1","217,54","59,02","48,27"
2000-04-01,"3,33","149,12","1,19","10,7","220,44","62,49","52,15"
2000-07-01,"3,51","186,27","0,92","13,2","223,57","61,98","54,74"
2000-10-01,"3,43","263,94","1,59","12,4","225,87","61,78","55,04"
2001-01-01,"3,39","179,05","4,29","13,4","230,20","61,47","57,73"
2001-04-01,"3,38","285,20","2,86","13,8","233,94","63,90","61,00"
2001-07-01,"2,70","173,84","4,55","13,8","238,21","65,59","63,45"
2001-10-01,"1,86","133,11","3,80","11,1","241,86","63,95","63,48"
2002-01-01,"1,25","-23,38","2,84","5,7","247,84","62,79","64,73"
2002-04-01,"1,30","-49,01","3,16","-0,9","252,00","62,13","67,97"
2002-07-01,"1,59","-204,36","1,42","-6,5","255,91","58,42","64,78"
2002-10-01,"2,20","-264,70","1,45","-7,6","259,07","56,60","57,42"
2003-01-01,"2,87","-247,12","-1,50","-3,7","262,80","57,84","55,58"
2003-04-01,"2,13","-254,17","-0,12","2,8","267,27","56,37","60,79"
2003-07-01,"2,20","-287,68","-0,06","6,5","272,58","47,91","62,00"
2003-10-01,"1,90","-356,65","0,81","9,6","276,45","46,98","61,51"
2004-01-01,"1,79","-373,05","1,15","6,1","279,81","45,32","66,62"
2004-04-01,"2,87","-338,61","1,14","4,1","283,23","49,43","67,13"
2004-07-01,"2,73","-196,81","0,91","4,4","287,60","52,74","69,33"
2004-10-01,"3,32","-123,92","0,68","5,9","295,74","56,62","66,01"
2005-01-01,"3,04","-133,13","0,91","9,3","300,40","61,82","69,18"
2005-04-01,"2,95","-113,95","1,46","12,0","307,73","60,97","75,52"
2005-07-01,"3,83","-72,83","2,84","11,8","319,45","60,41","76,54"
2005-10-01,"3,74","-19,95","2,16","10,9","326,29","64,57","77,22"
2006-01-01,"3,65","48,94","2,05","8,8","333,77","67,34","76,87"
2006-04-01,"4,01","29,74","1,52","6,0","344,46","66,86","84,07"
2006-07-01,"3,34","56,53","0,85","5,2","354,94","70,08","94,15"
2006-10-01,"1,94","53,50","1,68","6,1","362,98","71,04","93,96"
2007-01-01,"2,42","170,42","3,05","7,4","368,73","75,61","92,74"
2007-04-01,"2,65","123,50","2,74","7,0","372,51","77,05","102,19"
2007-07-01,"2,36","65,41","2,69","7,5","375,57","77,40","103,32"
2007-10-01,"3,97","116,73","3,16","4,0","379,42","83,04","89,85"
2008-01-01,"4,10","84,36","3,99","3,4","380,83","86,18","92,81"
2008-04-01,"4,38","105,01","3,51","2,9","380,58","91,38","106,36"
2008-07-01,"5,30","119,92","2,69","2,4","376,33","91,15","104,52"
2008-10-01,"1,60","136,98","1,98","1,6","375,13","92,71","105,82"
2009-01-01,"-0,04","-4,99","1,44","0,5","372,38","84,25","109,96"
2009-04-01,"-1,15","9,83","1,06","-1,0","362,99","86,15","126,98"
2009-07-01,"-1,62","-144,92","2,04","-2,8","351,55","77,11","132,27"
2009-10-01,"1,44","-555,04","3,21","-5,4","348,32","53,64","97,37"
2010-01-01,"2,36","-795,82","-0,85","-14,7","350,89","47,72","87,21"
2010-04-01,"1,77","-878,93","0,34","-17,4","341,70","53,53","93,98"
2010-07-01,"1,18","-878,09","-0,91","-12,9","332,77","60,64","100,08"
2010-10-01,"1,27","-767,91","-2,91","-5,1","330,24","66,32","99,48"
2011-01-01,"2,14","-743,65","-1,23","7,6","326,30","67,32","102,27"
2011-04-01,"3,43","-648,09","-0,98","17,3","323,34","66,72","104,98"
2011-07-01,"3,76","-584,17","-0,44","16,6","326,49","65,14","104,33"
2011-10-01,"3,29","-561,31","0,17","11,5","324,17","71,59","105,29"
2012-01-01,"2,82","-660,55","2,93","9,1","315,17","77,24","113,79"
2012-04-01,"1,89","-617,29","1,69","4,8","309,64","78,03","126,18"
2012-07-01,"1,70","-689,43","2,61","2,4","311,96","71,00","124,01"
2012-10-01,"1,89","-579,19","0,72","3,3","313,39","68,65","116,87"
2013-01-01,"1,68","-517,42","0,61","3,3","310,11","74,80","120,46"
2013-04-01,"1,39","-515,25","1,07","3,3","308,70","72,76","123,25"
2013-07-01,"1,55","-560,01","0,59","2,7","312,82","75,09","122,66"
2013-10-01,"1,23","-616,62","4,72","0,5","315,26","77,38","118,77"
2014-01-01,"1,41","-551,09","1,56","-0,1","316,84","83,32","120,31"
2014-04-01,"2,05","-605,16","2,28","0,9","321,69","86,59","122,31"
2014-07-01,"1,78","-552,41","1,40","1,1","326,35","89,19","123,20"
2014-10-01,"1,25","-513,04","-0,80","2,9","328,95","93,97","116,02"
2015-01-01,"-0,06","-651,17","2,94","4,3","331,70","96,29","120,28"
2015-04-01,"-0,04","-517,60","1,19","5,2","338,12","100,11","126,27"
2015-07-01,"0,11","-402,93","1,76","4,6","343,03","102,26","124,19"
2015-10-01,"0,47","-408,78","2,92","6,5","345,79","100,57","109,48"
2016-01-01,"1,08","-352,11","1,06","6,7","349,61","101,70","97,58"
2016-04-01,"1,05","-334,73","2,54","5,1","355,30","103,81","104,96"
2016-07-01,"1,12","-360,83","2,88","5,8","360,36","97,85","104,28"
2016-10-01,"1,80","-416,50","1,88","3,3","363,27","96,64","93,18"
2017-01-01,"2,54","-394,06","1,30","1,7","366,62","90,55","87,28"
2017-04-01,"1,90","-420,48","1,00","1,0","373,50","97,07","95,02"
2017-07-01,"1,97","-393,16","0,76","0,9","380,14","100,43","96,16"
2017-10-01,"2,12","-383,32","0,98","2,2","383,12","100,92","95,20"
2018-01-01,"2,21","-385,44","1,71","3,9","385,94","106,60","97,98"
2018-04-01,"2,71","-373,73","1,90","4,8","394,58","108,53","100,32"
2018-07-01,"2,64","-305,51","2,29","4,0","400,67","111,67","102,54"
2018-10-01,"2,20","-205,78","2,67","5,3","404,00","116,88","102,40"
2019-01-01,"1,64","-163,42","2,46","4,6","409,71","120,60","104,61"
2019-04-01,"1,81","-121,63","2,02","3,7","417,26","118,10","110,86"
2019-07-01,"1,76","-76,35","2,38","5,2","422,35","121,02","111,75"
2019-10-01,"2,03","-131,63","1,82","3,3","423,81","113,90","106,39"
2020-01-01,"2,12","-119,35","2,60","2,8","428,52","115,56","101,04"
2020-04-01,"0,36","-82,71","2,14","2,8","435,66","119,95","110,02"
2020-07-01,"1,22","-4,49","1,28","1,0","441,19","121,16","107,59"
2020-10-01,"1,24","-9,91","1,65","-2,0","445,13","125,25","105,80"
2021-01-01,"1,90","-324,45","2,94","-5,5","450,27","120,02","102,02"
2021-04-01,"4,85","-2 020,95","6,79","-22,1","454,71","106,88","91,93"
2021-07-01,"5,34","-733,49","4,11","-8,4","462,59","118,49","97,57"
2021-10-01,"6,69","-635,01","5,78","0,4","472,83","128,10","96,77"
2022-01-01,"7,97","-428,27","2,70","5,7","484,18","142,05","105,87"
2022-04-01,"8,64","-188,74","0,56","30,5","511,17","153,00","115,85"
2022-07-01,"8,33","-150,23","5,62","13,3","539,60","155,50","121,52"
